offerFulfillmentId,accountId,tsysAccountId,offerTriggerId,periodStartTimestamp,periodEndTimestamp,trackerType,status,currentValue,targetValue,points,fulfilledTimestamp,fulfilledTransactionId,createTimestamp,createUserId,updateTimestamp,updateUserId,eventType
-31,11587326,8908396,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-32,11585802,8908467,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-33,11585908,8908558,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-34,11585954,8908594,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-35,11586090,8908704,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-36,11586157,8908759,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-37,11586293,8908865,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-38,11586338,8908901,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-39,11586481,8909024,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-40,11586569,8909101,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-41,11586580,8909113,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-42,11586659,8909181,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-43,11586885,8909360,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-44,11586919,8909389,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-45,11586923,8909391,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-46,11587683,8909924,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-47,11587897,8910091,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-48,11588039,8910207,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-49,11588112,8910266,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-50,11588134,8910284,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-51,11588530,8910632,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-52,11588630,8910716,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-53,11588637,8910723,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-54,11588674,8910757,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-55,11588822,8910882,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-56,11588832,8910890,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-57,11589432,8911323,67,2025-09-07 00:00:00,2025-12-07 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
